Fecha_filtro,Marea_filtro
29/04/2021 00:00:00,0.1350
29/04/2021 00:30:00,0.4370
29/04/2021 01:00:00,0.8220
29/04/2021 01:30:00,1.2680
29/04/2021 02:00:00,1.7460
29/04/2021 02:30:00,2.2260
29/04/2021 03:00:00,2.6760
29/04/2021 03:30:00,3.0690
29/04/2021 04:00:00,3.3780
29/04/2021 04:30:00,3.5860
29/04/2021 05:00:00,3.6780
29/04/2021 05:30:00,3.6500
29/04/2021 06:00:00,3.5030
29/04/2021 06:30:00,3.2470
29/04/2021 07:00:00,2.8990
29/04/2021 07:30:00,2.4830
29/04/2021 08:00:00,2.0280
29/04/2021 08:30:00,1.5650
29/04/2021 09:00:00,1.1260
29/04/2021 09:30:00,0.7400
29/04/2021 10:00:00,0.4320
29/04/2021 10:30:00,0.2200
29/04/2021 11:00:00,0.1170
29/04/2021 11:30:00,0.1290
29/04/2021 12:00:00,0.2550
29/04/2021 12:30:00,0.4880
29/04/2021 13:00:00,0.8110
29/04/2021 13:30:00,1.2070
29/04/2021 14:00:00,1.6500
29/04/2021 14:30:00,2.1150
29/04/2021 15:00:00,2.5710
29/04/2021 15:30:00,2.9900
29/04/2021 16:00:00,3.3440
29/04/2021 16:30:00,3.6100
29/04/2021 17:00:00,3.7700
29/04/2021 17:30:00,3.8140
29/04/2021 18:00:00,3.7370
29/04/2021 18:30:00,3.5430
29/04/2021 19:00:00,3.2410
29/04/2021 19:30:00,2.8490
29/04/2021 20:00:00,2.3930
29/04/2021 20:30:00,1.9030
29/04/2021 21:00:00,1.4110
29/04/2021 21:30:00,0.9500
29/04/2021 22:00:00,0.5480
29/04/2021 22:30:00,0.2280
29/04/2021 23:00:00,0.0080
29/04/2021 23:30:00,-0.1000
30/04/2021 00:00:00,-0.0890
30/04/2021 00:30:00,0.0370
30/04/2021 01:00:00,0.2720
30/04/2021 01:30:00,0.6020
30/04/2021 02:00:00,1.0040
30/04/2021 02:30:00,1.4530
30/04/2021 03:00:00,1.9220
30/04/2021 03:30:00,2.3800
30/04/2021 04:00:00,2.7980
30/04/2021 04:30:00,3.1510
30/04/2021 05:00:00,3.4170
30/04/2021 05:30:00,3.5790
30/04/2021 06:00:00,3.6270
30/04/2021 06:30:00,3.5590
30/04/2021 07:00:00,3.3800
30/04/2021 07:30:00,3.1010
30/04/2021 08:00:00,2.7420
30/04/2021 08:30:00,2.3290
30/04/2021 09:00:00,1.8900
30/04/2021 09:30:00,1.4550
30/04/2021 10:00:00,1.0520
30/04/2021 10:30:00,0.7080
30/04/2021 11:00:00,0.4440
30/04/2021 11:30:00,0.2740
30/04/2021 12:00:00,0.2110
30/04/2021 12:30:00,0.2560
30/04/2021 13:00:00,0.4070
30/04/2021 13:30:00,0.6540
30/04/2021 14:00:00,0.9810
30/04/2021 14:30:00,1.3700
30/04/2021 15:00:00,1.7950
30/04/2021 15:30:00,2.2310
30/04/2021 16:00:00,2.6490
30/04/2021 16:30:00,3.0230
30/04/2021 17:00:00,3.3280
30/04/2021 17:30:00,3.5440
30/04/2021 18:00:00,3.6570
30/04/2021 18:30:00,3.6580
30/04/2021 19:00:00,3.5470
30/04/2021 19:30:00,3.3280
30/04/2021 20:00:00,3.0130
30/04/2021 20:30:00,2.6240
30/04/2021 21:00:00,2.1850
30/04/2021 21:30:00,1.7260
30/04/2021 22:00:00,1.2780
30/04/2021 22:30:00,0.8680
30/04/2021 23:00:00,0.5200
30/04/2021 23:30:00,0.2550
01/05/2021 00:00:00,0.0860
01/05/2021 00:30:00,0.0240
01/05/2021 01:00:00,0.0700
01/05/2021 01:30:00,0.2230
01/05/2021 02:00:00,0.4720
01/05/2021 02:30:00,0.8020
01/05/2021 03:00:00,1.1910
01/05/2021 03:30:00,1.6150
01/05/2021 04:00:00,2.0470
01/05/2021 04:30:00,2.4610
01/05/2021 05:00:00,2.8310
01/05/2021 05:30:00,3.1340
01/05/2021 06:00:00,3.3520
01/05/2021 06:30:00,3.4720
01/05/2021 07:00:00,3.4860
01/05/2021 07:30:00,3.3950
01/05/2021 08:00:00,3.2050
01/05/2021 08:30:00,2.9290
01/05/2021 09:00:00,2.5870
01/05/2021 09:30:00,2.2040
01/05/2021 10:00:00,1.8050
01/05/2021 10:30:00,1.4170
01/05/2021 11:00:00,1.0640
01/05/2021 11:30:00,0.7690
01/05/2021 12:00:00,0.5480
01/05/2021 12:30:00,0.4170
01/05/2021 13:00:00,0.3820
01/05/2021 13:30:00,0.4440
01/05/2021 14:00:00,0.6010
01/05/2021 14:30:00,0.8410
01/05/2021 15:00:00,1.1490
01/05/2021 15:30:00,1.5060
01/05/2021 16:00:00,1.8900
01/05/2021 16:30:00,2.2770
01/05/2021 17:00:00,2.6410
01/05/2021 17:30:00,2.9600
01/05/2021 18:00:00,3.2120
01/05/2021 18:30:00,3.3800
01/05/2021 19:00:00,3.4540
01/05/2021 19:30:00,3.4270
01/05/2021 20:00:00,3.3000
01/05/2021 20:30:00,3.0810
01/05/2021 21:00:00,2.7820
01/05/2021 21:30:00,2.4220
01/05/2021 22:00:00,2.0270
01/05/2021 22:30:00,1.6230
01/05/2021 23:00:00,1.2340
01/05/2021 23:30:00,0.8850
02/05/2021 00:00:00,0.5960
02/05/2021 00:30:00,0.3820
02/05/2021 01:00:00,0.2560
02/05/2021 01:30:00,0.2250
02/05/2021 02:00:00,0.2900
02/05/2021 02:30:00,0.4480
02/05/2021 03:00:00,0.6870
02/05/2021 03:30:00,0.9920
02/05/2021 04:00:00,1.3450
02/05/2021 04:30:00,1.7230
02/05/2021 05:00:00,2.1030
02/05/2021 05:30:00,2.4630
02/05/2021 06:00:00,2.7800
02/05/2021 06:30:00,3.0350
02/05/2021 07:00:00,3.2130
02/05/2021 07:30:00,3.3020
02/05/2021 08:00:00,3.3000
02/05/2021 08:30:00,3.2050
02/05/2021 09:00:00,3.0260
02/05/2021 09:30:00,2.7760
02/05/2021 10:00:00,2.4720
02/05/2021 10:30:00,2.1350
02/05/2021 11:00:00,1.7870
02/05/2021 11:30:00,1.4520
02/05/2021 12:00:00,1.1500
02/05/2021 12:30:00,0.8990
02/05/2021 13:00:00,0.7150
02/05/2021 13:30:00,0.6090
02/05/2021 14:00:00,0.5880
02/05/2021 14:30:00,0.6520
02/05/2021 15:00:00,0.7950
02/05/2021 15:30:00,1.0090
02/05/2021 16:00:00,1.2790
02/05/2021 16:30:00,1.5890
02/05/2021 17:00:00,1.9200
02/05/2021 17:30:00,2.2490
02/05/2021 18:00:00,2.5570
02/05/2021 18:30:00,2.8220
02/05/2021 19:00:00,3.0270
02/05/2021 19:30:00,3.1590
02/05/2021 20:00:00,3.2090
02/05/2021 20:30:00,3.1730
02/05/2021 21:00:00,3.0530
02/05/2021 21:30:00,2.8550
02/05/2021 22:00:00,2.5930
02/05/2021 22:30:00,2.2830
02/05/2021 23:00:00,1.9450
02/05/2021 23:30:00,1.6030
03/05/2021 00:00:00,1.2770
03/05/2021 00:30:00,0.9850
03/05/2021 01:00:00,0.7460
03/05/2021 01:30:00,0.5720
03/05/2021 02:00:00,0.4730
03/05/2021 02:30:00,0.4540
03/05/2021 03:00:00,0.5190
03/05/2021 03:30:00,0.6610
03/05/2021 04:00:00,0.8720
03/05/2021 04:30:00,1.1380
03/05/2021 05:00:00,1.4420
03/05/2021 05:30:00,1.7680
03/05/2021 06:00:00,2.0950
03/05/2021 06:30:00,2.4030
03/05/2021 07:00:00,2.6750
03/05/2021 07:30:00,2.8930
03/05/2021 08:00:00,3.0450
03/05/2021 08:30:00,3.1210
03/05/2021 09:00:00,3.1190
03/05/2021 09:30:00,3.0390
03/05/2021 10:00:00,2.8870
03/05/2021 10:30:00,2.6740
03/05/2021 11:00:00,2.4150
03/05/2021 11:30:00,2.1270
03/05/2021 12:00:00,1.8290
03/05/2021 12:30:00,1.5400
03/05/2021 13:00:00,1.2780
03/05/2021 13:30:00,1.0600
03/05/2021 14:00:00,0.8990
03/05/2021 14:30:00,0.8050
03/05/2021 15:00:00,0.7820
03/05/2021 15:30:00,0.8310
03/05/2021 16:00:00,0.9480
03/05/2021 16:30:00,1.1240
03/05/2021 17:00:00,1.3490
03/05/2021 17:30:00,1.6080
03/05/2021 18:00:00,1.8840
03/05/2021 18:30:00,2.1610
03/05/2021 19:00:00,2.4190
03/05/2021 19:30:00,2.6430
03/05/2021 20:00:00,2.8170
03/05/2021 20:30:00,2.9300
03/05/2021 21:00:00,2.9760
03/05/2021 21:30:00,2.9510
03/05/2021 22:00:00,2.8550
03/05/2021 22:30:00,2.6940
03/05/2021 23:00:00,2.4780
03/05/2021 23:30:00,2.2220
04/05/2021 00:00:00,1.9410
04/05/2021 00:30:00,1.6550
04/05/2021 01:00:00,1.3800
04/05/2021 01:30:00,1.1320
04/05/2021 02:00:00,0.9260
04/05/2021 02:30:00,0.7730
04/05/2021 03:00:00,0.6830
04/05/2021 03:30:00,0.6620
04/05/2021 04:00:00,0.7100
04/05/2021 04:30:00,0.8250
04/05/2021 05:00:00,1.0000
04/05/2021 05:30:00,1.2240
04/05/2021 06:00:00,1.4830
04/05/2021 06:30:00,1.7630
04/05/2021 07:00:00,2.0460
04/05/2021 07:30:00,2.3170
04/05/2021 08:00:00,2.5590
04/05/2021 08:30:00,2.7570
04/05/2021 09:00:00,2.8990
04/05/2021 09:30:00,2.9780
04/05/2021 10:00:00,2.9890
04/05/2021 10:30:00,2.9320
04/05/2021 11:00:00,2.8120
04/05/2021 11:30:00,2.6350
04/05/2021 12:00:00,2.4150
04/05/2021 12:30:00,2.1650
04/05/2021 13:00:00,1.9040
04/05/2021 13:30:00,1.6460
04/05/2021 14:00:00,1.4100
04/05/2021 14:30:00,1.2090
04/05/2021 15:00:00,1.0550
04/05/2021 15:30:00,0.9570
04/05/2021 16:00:00,0.9200
04/05/2021 16:30:00,0.9450
04/05/2021 17:00:00,1.0300
04/05/2021 17:30:00,1.1680
04/05/2021 18:00:00,1.3510
04/05/2021 18:30:00,1.5660
04/05/2021 19:00:00,1.8010
04/05/2021 19:30:00,2.0400
04/05/2021 20:00:00,2.2680
04/05/2021 20:30:00,2.4700
04/05/2021 21:00:00,2.6330
04/05/2021 21:30:00,2.7470
04/05/2021 22:00:00,2.8060
04/05/2021 22:30:00,2.8040
04/05/2021 23:00:00,2.7400
04/05/2021 23:30:00,2.6180
05/05/2021 00:00:00,2.4450
05/05/2021 00:30:00,2.2330
05/05/2021 01:00:00,1.9960
05/05/2021 01:30:00,1.7480
05/05/2021 02:00:00,1.5060
05/05/2021 02:30:00,1.2810
05/05/2021 03:00:00,1.0890
05/05/2021 03:30:00,0.9400
05/05/2021 04:00:00,0.8450
05/05/2021 04:30:00,0.8090
05/05/2021 05:00:00,0.8360
05/05/2021 05:30:00,0.9230
05/05/2021 06:00:00,1.0670
05/05/2021 06:30:00,1.2580
05/05/2021 07:00:00,1.4850
05/05/2021 07:30:00,1.7350
05/05/2021 08:00:00,1.9940
05/05/2021 08:30:00,2.2460
05/05/2021 09:00:00,2.4750
05/05/2021 09:30:00,2.6690
05/05/2021 10:00:00,2.8150
05/05/2021 10:30:00,2.9050
05/05/2021 11:00:00,2.9330
05/05/2021 11:30:00,2.8970
05/05/2021 12:00:00,2.7990
05/05/2021 12:30:00,2.6470
05/05/2021 13:00:00,2.4500
05/05/2021 13:30:00,2.2210
05/05/2021 14:00:00,1.9770
05/05/2021 14:30:00,1.7330
05/05/2021 15:00:00,1.5040
05/05/2021 15:30:00,1.3030
05/05/2021 16:00:00,1.1430
05/05/2021 16:30:00,1.0320
05/05/2021 17:00:00,0.9760
05/05/2021 17:30:00,0.9770
05/05/2021 18:00:00,1.0340
05/05/2021 18:30:00,1.1440
05/05/2021 19:00:00,1.2990
05/05/2021 19:30:00,1.4900
05/05/2021 20:00:00,1.7030
05/05/2021 20:30:00,1.9270
05/05/2021 21:00:00,2.1460
05/05/2021 21:30:00,2.3470
05/05/2021 22:00:00,2.5180
05/05/2021 22:30:00,2.6480
05/05/2021 23:00:00,2.7270
05/05/2021 23:30:00,2.7500
06/05/2021 00:00:00,2.7140
