Estaciones,Transecto,Sector,Marea,S,Simpson,Shannon,Pielou,q0,q1,q2,Densidad,DenRelativa,latitud,longitud
A01A,Amarales,Oceanico,Alta,17,0.904858836,2.583187074,0.911751697,17,13.23926551,10.51069757,977,0.00533629,2.849301,-78.222562
A02A,Amarales,Oceanico,Alta,16,0.907076798,2.563173427,0.924469398,16,12.97693339,10.76157495,860,0.004697246,2.816773,-78.22249
A03A,Amarales,Oceanico,Alta,12,0.626315641,1.544538933,0.621568192,12,4.685810657,2.676055272,1128,0.006161039,2.784222,-78.222462
A04A,Amarales,Costero,Alta,8,0.79992168,1.790580889,0.86108739,8,5.992932687,4.998042774,530,0.002894814,2.751671,-78.222434
A05A,Amarales,Costero,Alta,16,0.768791665,1.939865959,0.69965875,16,6.957818275,4.325103588,1208,0.006597992,2.71912,-78.222406
A06A,Amarales,Costero,Alta,29,0.777820178,2.032569247,0.603620635,29,7.633673977,4.500858762,12372,0.067574801,2.686569,-78.222378
G01A,Guascama,Oceanico,Alta,23,0.874696442,2.435217362,0.776661411,23,11.41830035,7.980619373,2507,0.013693019,2.784031,-78.400528
G02A,Guascama,Oceanico,Alta,26,0.746019881,2.180847933,0.669362589,26,8.853810513,3.937316052,2238,0.012223764,2.751498,-78.400469
G03A,Guascama,Oceanico,Alta,12,0.818040123,2.106506504,0.847720579,12,8.219476362,5.495717072,360,0.001966289,2.718948,-78.400437
G04A,Guascama,Costero,Alta,29,0.941536553,3.064094547,0.90995704,29,21.41506287,17.10470487,1422,0.007766842,2.686398,-78.400405
G05A,Guascama,Costero,Alta,37,0.924698684,3.00752763,0.832898366,37,20.23730393,13.2799804,3067,0.01675169,2.653849,-78.400374
G06A,Guascama,Costero,Alta,30,0.823239757,2.461287804,0.723653328,30,11.71989476,5.657380777,5686,0.031056443,2.621299,-78.400343
S01A,Sanquianga,Oceanico,Alta,17,0.555412707,1.496942308,0.528354955,17,4.468006373,2.249277061,1774,0.009689436,2.832936,-78.319656
S02A,Sanquianga,Oceanico,Alta,11,0.343988395,0.914452621,0.381356363,11,2.495408943,1.524363276,2147,0.01172673,2.800405,-78.319592
S03A,Sanquianga,Oceanico,Alta,27,0.530570379,1.473582235,0.447104118,27,4.364843064,2.130244782,5688,0.031067367,2.767854,-78.319562
S04A,Sanquianga,Costero,Alta,39,0.806658877,2.343183234,0.639591594,39,10.41433512,5.172205397,5650,0.030859815,2.735304,-78.319532
S05A,Sanquianga,Costero,Alta,41,0.803138529,2.400198464,0.646331462,41,11.0253643,5.079714142,18353,0.100242509,2.702753,-78.319502
S06A,Sanquianga,Costero,Alta,42,0.736001978,2.081884403,0.557000649,42,8.019566781,3.787907175,29298,0.160023159,2.670203,-78.319473
