Especie,Marea,Sector,Transecto,S,Simpson,Shannon,Pielou,q0,q1,q2,Densidad,latitud,longitud
A01B,Baja,Oceanico,Amarales,4,0.54,0.98,0.71,4.00,2.66,2.17,6097.1,2.849301,-78.222562
A02B,Baja,Oceanico,Amarales,4,0.34,0.68,0.49,4.00,1.97,1.52,7839.5,2.816773,-78.22249
A03B,Baja,Oceanico,Amarales,5,0.50,0.99,0.61,5.00,2.68,1.98,13770,2.784222,-78.222462
A04B,Baja,Costero,Amarales,5,0.46,0.95,0.59,5.00,2.59,1.86,3189.2,2.751671,-78.222434
A05B,Baja,Costero,Amarales,4,0.52,0.98,0.71,4.00,2.67,2.11,3694.3,2.71912,-78.222406
A06B,Baja,Costero,Amarales,5,0.37,0.81,0.51,5.00,2.26,1.60,6182.8,2.686569,-78.222378
G01B,Baja,Oceanico,Guascama,9,0.44,1.09,0.50,9.00,2.97,1.78,6523.7,2.784031,-78.400528
G02B,Baja,Oceanico,Guascama,9,0.65,1.37,0.63,9.00,3.95,2.84,8769.2,2.751498,-78.400469
G03B,Baja,Oceanico,Guascama,10,0.27,0.71,0.31,10.00,2.04,1.37,32842.8,2.718948,-78.400437
G04B,Baja,Costero,Guascama,7,0.67,1.38,0.71,7.00,3.99,2.99,19696.4,2.686398,-78.400405
G05B,Baja,Costero,Guascama,8,0.37,0.80,0.38,8.00,2.22,1.58,31666.6,2.653849,-78.400374
G06B,Baja,Costero,Guascama,8,0.48,1.10,0.53,8.00,3.02,1.91,12051.3,2.621299,-78.400343
S01B,Baja,Oceanico,Sanquianga,5,0.62,1.20,0.75,5.00,3.32,2.65,23298.3,2.832936,-78.319656
S02B,Baja,Oceanico,Sanquianga,7,0.66,1.31,0.68,7.00,3.72,2.96,11105.5,2.800405,-78.319592
S03B,Baja,Oceanico,Sanquianga,6,0.53,1.12,0.63,6.00,3.08,2.11,6428.5,2.767854,-78.319562
S04B,Baja,Costero,Sanquianga,5,0.69,1.39,0.86,5.00,4.00,3.20,2019,2.735304,-78.319532
S05B,Baja,Costero,Sanquianga,3,0.56,0.95,0.87,3.00,2.59,2.27,1422.9,2.702753,-78.319502
S06B,Baja,Costero,Sanquianga,7,0.18,0.47,0.24,7.00,1.60,1.22,40587.7,2.670203,-78.319473
