"Especie","Marea","Sector","Transecto","S","Simpson","Shannon","Pielou","q0","q1","q2","Densidad","No.Estacion"
"A01A","Alta","Oceanico","Amarales",3,0.540007800417645,0.897960942358389,0.817359273713406,3,2.45459294837908,2.17394990808092,3076.7,1
"A01B","Baja","Oceanico","Amarales",4,0.538190230157569,0.979806475514401,0.70678097162776,4,2.66394065429682,2.16539377315729,6097.1,1
"A02A","Alta","Oceanico","Amarales",2,0.375034062265664,0.562372565297801,0.811332111087143,2,1.75483101634284,1.60008720415269,733.9,2
"A02B","Baja","Oceanico","Amarales",4,0.341250797209129,0.68045912181139,0.490847500282476,4,1.97478419062182,1.51802840255954,7839.5,2
"A03A","Alta","Oceanico","Amarales",5,0.689359490792379,1.33493257532623,0.829440244331817,5,3.79973974156962,3.21915516604963,4903.1,3
"A03B","Baja","Oceanico","Amarales",5,0.496189516325102,0.98755735032104,0.613603881635587,5,2.68466875147192,1.98487334504394,13770,3
"A04A","Alta","Costero","Amarales",3,0.214532871972318,0.443757284260148,0.403925287234983,3,1.55855215457103,1.27312775330396,3228.3,4
"A04B","Baja","Costero","Amarales",5,0.462626840470572,0.953341161862207,0.592344168418638,5,2.59436338251086,1.86090425669136,3189.2,4
"A05A","Alta","Costero","Amarales",1,0,0,NA,1,1,1,375.3,5
"A05B","Baja","Costero","Amarales",4,0.524995939489378,0.981928747333099,0.708311867141887,4,2.66960026396491,2.1052451613256,3694.3,5
"A06A","Alta","Costero","Amarales",4,0.366724627278203,0.730173723158952,0.526709004694426,4,2.07544112854687,1.57909188178601,2170.8,6
"A06B","Baja","Costero","Amarales",5,0.374270813601651,0.813153724570664,0.505240816243018,5,2.25500845991,1.59813545817788,6182.8,6
"G01A","Alta","Oceanico","Guascama",6,0.306942963473444,0.725702842847637,0.405022468311716,6,2.06618279154815,1.44288268828749,6471.4,1
"G01B","Baja","Oceanico","Guascama",9,0.437883004304593,1.08862245139514,0.495453429123262,9,2.97017968621951,1.77898908529332,6523.7,1
"G02A","Alta","Oceanico","Guascama",7,0.391252160283257,0.928825137162125,0.477321698338973,7,2.53153322548291,1.64271630181934,4764.8,2
"G02B","Baja","Oceanico","Guascama",9,0.648077080214375,1.37335492807415,0.625040763807184,9,3.94857568604186,2.84153132341922,8769.2,2
"G03A","Alta","Oceanico","Guascama",8,0.175360612979917,0.464577298957996,0.22341445510543,8,1.59134138503804,1.21265127004617,32115.4,3
"G03B","Baja","Oceanico","Guascama",10,0.269881795490193,0.711451901300793,0.308979634874511,10,2.03694655808338,1.36964123593027,32842.8,3
"G04A","Alta","Costero","Guascama",5,0.157800334638956,0.397659909581885,0.247079993897042,5,1.48833777440984,1.18736689306485,10710.7,4
"G04B","Baja","Costero","Guascama",7,0.665262877334418,1.38436119848937,0.711420925144691,7,3.99227481889947,2.987418879737,19696.4,4
"G05A","Alta","Costero","Guascama",8,0.235803869413132,0.607255511672108,0.29202817174728,8,1.8353872812164,1.30856459484039,19548,5
"G05B","Baja","Costero","Guascama",8,0.367059443978303,0.795420437627368,0.382516373595578,8,2.21537222687108,1.57992719930198,31666.6,5
"G06A","Alta","Costero","Guascama",8,0.833328754578768,1.91089621166031,0.91894682940528,8,6.75914370829075,5.99983516936398,5460.3,6
"G06B","Baja","Costero","Guascama",8,0.476261206050399,1.10443435839611,0.531120657281816,8,3.01751715274554,1.90934872793904,12051.3,6
"S01A","Alta","Oceanico","Sanquianga",3,0.0840243291859005,0.206536165321477,0.187997319392694,3,1.22941219550036,1.09173205344114,12598.1,1
"S01B","Baja","Oceanico","Sanquianga",5,0.622274310914804,1.20116881306401,0.746328145860172,5,3.32399978749937,2.6474238551841,23298.3,1
"S02A","Alta","Oceanico","Sanquianga",5,0.278325626816947,0.602766167623396,0.374519677315031,5,1.82716606399237,1.38566649608098,8197.9,2
"S02B","Baja","Oceanico","Sanquianga",7,0.662195327644558,1.31446665595386,0.675502235594998,7,3.72276494115935,2.96029061121981,11105.5,2
"S03A","Alta","Oceanico","Sanquianga",4,0.320995796521628,0.65515515023924,0.472594543131507,4,1.92544122687033,1.47274493276661,6671.5,3
"S03B","Baja","Oceanico","Sanquianga",6,0.526761005942507,1.12480867547985,0.627767674622336,6,3.07962758427963,2.11309721421332,6428.5,3
"S04A","Alta","Costero","Sanquianga",5,0.687482190490541,1.38626144233157,0.8613326625536,5,3.99986832701399,3.19981764101586,2105.7,4
"S04B","Baja","Costero","Sanquianga",5,0.687537144036066,1.38636301863857,0.861395775461663,5,4.00027463950265,3.20038040014402,2019,4
"S05A","Alta","Costero","Sanquianga",2,0.444444444444444,0.636514168294813,0.918295834054489,2,1.88988157484231,1.8,833.7,5
"S05B","Baja","Costero","Sanquianga",3,0.560022488097058,0.950301421339448,0.865001630822404,3,2.58648916485868,2.27284343619043,1422.9,5
"S06A","Alta","Costero","Sanquianga",3,0.639988854446153,1.05490085380493,0.960212137335392,3,2.87169042260775,2.77769178079635,1435.7,6
"S06B","Baja","Costero","Sanquianga",7,0.181835603968739,0.471140249329949,0.242118193154332,7,1.6018196260506,1.22224824845812,40587.7,6
