Variable,Arch1,Arch2,Arch3,Arch4,Arch5,Arch6,Arch7,Arch8,Arch9,Arch10,Arch11,Arch12,Arch13,Arch14,Arch15,Arch16,Arch17,Arch18,Arch19,Arch20
no2,-0.48852575,0.257389597,-0.588513395,-0.524462708,-0.844906182,0.776470056,1.487913773,1.795528814,1.853227666,-0.934586053,-0.819245132,-0.280945261,-0.12707284,-0.20409551,-0.93451068,1.475043079,0.911111486,-0.652616491,-0.953827738,0.084451337
no3,-0.485490204,2.860740652,-0.136458198,-0.076428586,-0.465322575,-0.15076033,0.831024749,-0.11747337,0.646089795,-1.047018593,-0.250299967,0.811981504,-0.790902311,0.935224068,-0.724444133,-0.183927244,-0.155435274,-0.683442633,-0.876307849,2.600013287
po4,-0.166282167,2.121666805,0.966128362,-0.40120926,-0.767116629,0.24396946,0.561690094,0.73501806,2.526052887,-0.940467442,-0.709355948,0.503950339,-0.709375742,-0.015999842,-0.651631964,0.272841981,0.041720778,-1.113787469,-0.767131462,0.475004467
sio2,-0.628739976,2.721304298,-0.394454521,-0.094416037,-0.764622638,-0.049488401,0.916154114,0.034694026,1.077000848,-0.907907263,-0.511099515,0.412549096,-0.399101859,1.023737548,-0.77694899,-0.137928888,-0.273148318,-0.480093962,-0.751381095,2.588309043
ph,0.437463777,-2.997852638,-0.204071574,0.451257884,0.623713148,0.158082691,-0.617964197,-0.204071127,-1.342276785,0.623714951,0.623714165,0.002872842,0.934135733,-1.342282298,-0.411015584,0.244311321,0.002874862,0.692696739,0.985870702,-2.118326142
od,0.594306876,-1.449508717,-0.33224845,0.675686009,1.087802848,-0.682380776,-1.389860296,-0.76422284,-1.993134002,0.308282377,1.172243442,-0.004586288,0.516850368,-1.077170691,-0.213000024,-0.828830023,-0.004539769,0.660811535,1.269068341,-0.853555406
transparencia,-0.205875553,-0.897216363,-0.897194548,-0.418945855,0.863673831,-0.620050325,-0.848273527,-0.50587872,-0.766741133,1.678922158,0.048459636,-0.766782484,0.700659046,-0.277673533,-0.277585572,-0.495035119,-0.571106792,0.918036966,2.738710151,-0.831949435
sst,-0.508937834,0.900908284,0.271841255,-0.359741995,-0.557641606,-0.307927128,-0.034518046,-0.151113122,2.530565398,-0.677265619,-0.577292313,-0.168546939,-0.673777639,3.151573231,0.92103131,-0.143081775,-0.470076328,-0.537801363,-0.276425111,0.477164626
tsi_secchi,0.056554374,1.519342359,1.519372568,0.194323537,-1.077706093,0.644810927,1.280878476,0.326860258,0.962886162,-1.501684778,-0.468176666,0.962828952,-1.024662607,-0.070727942,-0.070606126,0.273823121,0.406348054,-1.077685825,-1.859451983,1.2014042
temperatura_median,0.650252283,0.327591997,0.664865649,-1.294538855,-1.380340604,0.2707365,0.732454653,0.672807944,0.568428722,-1.726310919,-0.62018567,0.335718964,0.730541794,0.890622939,0.792569827,0.711171997,0.651986794,0.236193393,-2.103767415,0.503997277
salinidad_median,0.350656253,-3.088573966,-0.148207348,0.705384129,0.833009842,0.43109968,0.172973386,-0.20787828,-0.896583855,0.835407109,-1.079661752,0.449757565,0.379825442,-0.503572296,0.396534087,-0.340510137,0.035813486,0.531509802,0.884163966,-2.511099961
oxigeno_median,0.847829895,-0.90241467,-2.130623958,-0.657894613,-0.23005602,0.661112674,1.021950182,0.205088543,-0.985219244,-1.261588115,1.277895604,0.637710812,1.388060001,0.220218178,1.443137134,0.34441103,0.455322204,0.108582623,-1.645721776,-0.674700132
densidad_median,0.207665728,-2.884372312,-0.253215543,0.813908489,1.037011177,0.327744732,0.037531479,-0.298950542,-0.917088681,1.047885193,-0.853447432,0.323297965,0.244014004,-0.615246816,0.223319124,-0.438586679,-0.071621042,0.461831281,1.195106922,-2.385305937
temperatura_iqr,-0.670718184,-0.838232998,-0.801420032,1.56235389,0.956163884,0.054857694,-0.787496185,-0.783634356,-0.79895088,1.464041256,-0.76850627,0.491731954,-0.387952418,-0.833721394,-0.778106223,-0.817589481,-0.706337106,0.975444124,1.607577552,-0.836849081
salinidad_iqr,-1.101061108,-0.093846452,1.023528987,0.593119659,0.170712589,0.47469053,1.765597912,0.018622376,1.553979554,0.535879759,-1.977104486,0.347330469,-0.688475417,-0.69974424,-0.376782501,-0.830081346,1.550107768,0.538324305,0.631411192,-1.318296975
oxigeno_iqr,-0.721444405,-0.728694073,-0.852217209,1.355697242,0.388875419,-0.239958838,0.246759743,-0.713957023,-0.572621377,0.479081366,3.609635902,0.032066818,0.465433162,-0.728159677,-0.691989141,-0.85364025,-0.471701913,0.553435317,1.128680071,-1.002161164
densidad_iqr,-0.950249889,-0.625951229,-0.140013174,1.415169084,0.824490745,0.222634761,0.194687999,-0.600913137,0.064987572,1.353297007,-1.413011158,0.609724916,-0.577139182,-0.893946036,-0.699850928,-1.018543875,-0.082492228,0.939533114,1.480163814,-1.194807891
temperatura_sup,-0.327075551,-0.319589731,0.505420554,-0.253484573,0.224633137,-1.106286222,0.48473174,-0.367647974,-1.328098039,-0.292508632,-2.694203115,0.783696904,3.01837408,0.480044329,0.640826656,0.096551861,-0.428969907,1.228715261,0.259806705,0.1426945
salinidad_sup,0.425235164,-0.782459687,0.811253227,-0.90926269,0.748338544,-1.390277598,0.633929027,0.940533183,-1.926933804,-2.140936255,0.642020398,0.396343777,0.623313094,-1.02669637,-1.273556744,0.862643495,0.869866661,0.468333354,0.812682948,-0.16316935
densidad_sup,0.455257098,-0.801034129,0.793100543,-0.904728702,0.741886204,-1.358356872,0.612574367,0.974979648,-1.900563409,-2.160700611,0.752702833,0.363649138,0.491507792,-1.063622234,-1.320412753,0.879272649,0.912667514,0.425980201,0.811058776,-0.178959713
